"metadataAdvertiserId","distinct.jobid.","visibilitylevel","nps_score"
27713765,1,"jobalert",0
27714436,1,"sponsored",10
27715974,1,"jobalert",9
27717868,1,"sponsored",9
27718467,1,"jobalert",5
27719391,1,"jobalert",0
27720795,1,"sponsored",3
27720824,1,"jobalert",9
27720977,1,"jobalert",3
27723225,1,"sponsored",7
27723970,1,"jobalert",10
27726194,1,"sponsored",10
27726360,1,"jobalert",10
27726415,3,"sponsored",10
27726660,1,"jobalert",10
27726896,7,"sponsored",8
27727956,1,"jobalert",9
27728848,1,"sponsored",9
27729637,3,"jobalert",1
27729757,1,"sponsored",10
27729898,2,"jobalert",10
27730013,2,"sponsored",3
27730408,1,"jobalert",7
27730974,2,"jobalert",10
27731060,1,"jobalert",10
27731169,1,"jobalert",10
27731186,1,"jobalert",10
27731350,1,"nowhere",10
27731450,1,"sponsored",10
27731893,1,"jobalert",9
27732031,1,"jobalert",10
27732146,1,"sponsored",9
27732337,1,"sponsored",10
27733011,2,"jobalert",10
27733176,1,"jobalert",10
27733181,1,"jobalert",6
27733268,1,"sponsored",10
27733447,7,"jobalert",10
27733849,1,"sponsored",5
27734030,1,"jobalert",10
27734063,1,"sponsored",10
27734124,5,"jobalert",10
27735844,1,"sponsored",9
27735926,1,"jobalert",10
27736081,7,"sponsored",0
27736591,1,"jobalert",10
27736734,1,"jobalert",10
27736962,1,"sponsored",10
27737038,1,"jobalert",10
27737082,1,"jobalert",10
27737698,1,"jobalert",10
27737859,1,"sponsored",10
27738242,1,"jobalert",7
27738362,1,"sponsored",10
27738518,1,"jobalert",10
27738727,1,"nowhere",10
27738740,1,"jobalert",9
27738911,1,"jobalert",9
27738973,1,"sponsored",10
27739371,1,"jobalert",10
27739384,1,"nowhere",10
27739529,2,"sponsored",10
27739540,2,"jobalert",10
27739627,3,"jobalert",10
27739643,1,"sponsored",10
27739741,1,"jobalert",10
27739756,1,"jobalert",0
27739818,2,"sponsored",10
27739933,1,"jobalert",10
27740001,1,"organic",3
27740258,4,"sponsored",0
27741039,1,"jobalert",10
27741357,1,"jobalert",8
27741570,1,"jobalert",10
27741596,1,"sponsored",9
27741723,1,"jobalert",9
27741910,2,"sponsored",9
27742055,4,"jobalert",10
27742065,1,"jobalert",0
27742117,4,"sponsored",10
27742141,1,"sponsored",10
27742533,1,"jobalert",10
27743105,1,"sponsored",7
27743322,2,"jobalert",5
27743329,8,"sponsored",10
27743338,1,"jobalert",10
27743368,2,"jobalert",10
27743709,1,"sponsored",10
27745364,1,"jobalert",0
27745560,1,"sponsored",9
27745995,1,"sponsored",7
27746092,1,"jobalert",0
27746187,1,"sponsored",10
27746362,1,"jobalert",10
27746717,1,"sponsored",9
27747620,1,"jobalert",10
27747687,1,"jobalert",10
27749157,1,"sponsored",8
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"nowhere",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"nowhere",NA
NA,NA,"organic",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"organic",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"nowhere",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"organic",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"sponsored",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
NA,NA,"jobalert",NA
