metadataAdvertiserId,distinct(jobid),visibilitylevel
27746187,1,sponsored
27746362,1,jobalert
27746717,1,sponsored
27747620,1,jobalert
27747687,1,jobalert
27749157,1,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,nowhere
,,sponsored
,,sponsored
,,jobalert
,,jobalert
,,nowhere
,,organic
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,nowhere
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,nowhere
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,jobalert
,,nowhere
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,organic
,,sponsored
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,nowhere
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,nowhere
,,sponsored
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,organic
,,jobalert
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,organic
,,jobalert
,,jobalert
,,nowhere
,,sponsored
,,sponsored
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,organic
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,nowhere
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,organic
,,jobalert
,,organic
,,sponsored
,,sponsored
,,jobalert
,,sponsored
,,sponsored
,,sponsored
,,sponsored
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,nowhere
,,sponsored
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,nowhere
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,jobalert
,,organic
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,organic
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,nowhere
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,nowhere
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,sponsored
,,sponsored
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,organic
,,sponsored
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,nowhere
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,nowhere
,,organic
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,organic
,,sponsored
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,organic
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,organic
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,sponsored
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,nowhere
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,nowhere
,,jobalert
,,jobalert
,,jobalert
,,jobalert
,,organic
,,nowhere
,,organic
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,nowhere
,,sponsored
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,organic
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,organic
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,jobalert
,,jobalert
,,sponsored
,,jobalert
,,sponsored
,,nowhere
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,nowhere
,,jobalert
,,nowhere
,,sponsored
,,jobalert
,,jobalert
,,jobalert
,,nowhere
,,sponsored
